log_message,severity
"2023-10-31T00:23:00.193391+01:00 NOTE: remote asm mode is local (mode 0x1; from cluster type) NOTE: Cluster configuration type = NONE [2] Oracle Database 19c Enterprise Edition Release 19.0.0.0.0 - Production Version 19.3.0.0.0. ORACLE_HOME:    /oracle/ora_base/product/11.2.0.4 System name:	AIX Node name:	apfrdbg Release:	2 Version:	7 Machine:	00FBE6624C00 Using parameter settings in server-side pfile /oracle/ora_base/product/11.2.0.4/dbs/initFRET.ora System parameters with non-default values: processes                = 8000 sessions                 = 12032 memory_target            = 24G memory_max_target        = 24G control_files            = ""/Data/FRET/control01.ctl"" control_files            = ""/Data/FRET/control02.ctl"" log_file_name_convert    = ""/oracle/data/FRET/"" log_file_name_convert    = ""/oracle/data/FRET/"" db_block_size            = 8192 db_keep_cache_size       = 0 compatible               = ""19.0.0.0.0"" log_archive_dest_1       = ""location=/archive/FRET"" log_archive_dest_2       = ""SERVICE=FRET NOAFFIRM ASYNC VALID_FOR=(ONLINE_LOGFILES,PRIMARY_ROLE) DB_UNIQUE_NAME=FRET"" log_archive_dest_state_2 = ""ENABLE"" fal_server               = ""FRET"" log_archive_config       = ""DG_CONFIG=(FRET,FRETDG)"" log_archive_max_processes= 30 standby_file_management  = ""AUTO"" transactions             = 13224 undo_tablespace          = ""UNDOTBS1"" undo_retention           = 26000 recyclebin               = ""OFF"" remote_login_passwordfile= ""EXCLUSIVE"" db_domain                = """" global_txn_processes     = 0 dispatchers              = ""(PROTOCOL=TCP) (SERVICE=FRETXDB)"" session_cached_cursors   = 300 job_queue_processes      = 1000 cursor_sharing           = ""EXACT"" audit_file_dest          = ""/oracle/ora_base/admin/FRET/adump"" audit_trail              = ""NONE"" db_name                  = ""FRET"" db_unique_name           = ""FRETDG"" open_cursors             = 6000 pga_aggregate_target     = 6G _optimizer_autostats_job = TRUE ddl_lock_timeout         = 30 deferred_segment_creation= FALSE diagnostic_dest          = ""/oracle/ora_base""",0
2023-10-31T00:23:00.306050+01:00 ============================================================ NOTE: PatchLevel of this instance 0 ============================================================ Starting background process PMON,0
"2023-10-31T00:23:01.207538+01:00 PMON started with pid=2, OS id=5374638",0
2023-10-31T00:23:01.210115+01:00 Starting background process CLMN,0
"2023-10-31T00:23:01.246968+01:00 CLMN started with pid=3, OS id=7144062 Starting background process PSP0",0
"2023-10-31T00:23:01.286442+01:00 PSP0 started with pid=4, OS id=14287534 Starting background process VKTM",0
"2023-10-31T00:23:01.336582+01:00 Errors in file /oracle/ora_base/diag/rdbms/fretdg/FRET/trace/FRET_vktm_5178052.trc  (incident=41): ORA-00800: soft external error, arguments: [Set Priority Failed], [VKTM], [Check traces and OS configuration], [Check Oracle document and MOS notes], [] Incident details in: /oracle/ora_base/diag/rdbms/fretdg/FRET/incident/incdir_41/FRET_vktm_5178052_i41.trc",2
"2023-10-31T00:23:01.354018+01:00 Error attempting to elevate VKTM's priority: no further priority changes will be attempted for this process VKTM started with pid=5, OS id=5178052 Starting background process GEN0",2
"2023-10-31T00:23:01.412182+01:00 GEN0 started with pid=6, OS id=4981412 Starting background process MMAN VKTM running at (100ms) precision",0
"2023-10-31T00:23:01.450189+01:00 MMAN started with pid=7, OS id=4915768 Starting background process GEN1",0
"2023-10-31T00:23:01.565084+01:00 GEN1 started with pid=9, OS id=10224212_65470789 Starting background process DIAG Starting background process DBRM",0
"2023-10-31T00:23:01.620833+01:00 DIAG started with pid=11, OS id=8848006",0
"2023-10-31T00:23:01.641063+01:00 DBRM started with pid=12, OS id=6685398 Starting background process VKRM",0
"2023-10-31T00:23:01.679115+01:00 VKRM started with pid=13, OS id=5309098 Starting background process SVCB",0
"2023-10-31T00:23:01.719365+01:00 SVCB started with pid=14, OS id=5112494 Starting background process PMAN",0
"2023-10-31T00:23:01.759474+01:00 PMAN started with pid=15, OS id=4850332 Starting background process DIA0",0
"2023-10-31T00:23:01.797555+01:00 DIA0 started with pid=16, OS id=4784794 Starting background process DBW0",0
"2023-10-31T00:23:01.840265+01:00 DBW0 started with pid=17, OS id=4653718 Starting background process DBW1",0
"2023-10-31T00:23:01.892618+01:00 DBW1 started with pid=18, OS id=4522642 Starting background process DBW2",0
"2023-10-31T00:23:01.936926+01:00 DBW2 started with pid=19, OS id=4457104 Starting background process DBW3",0
"2023-10-31T00:23:01.981056+01:00 DBW3 started with pid=20, OS id=4129414 Starting background process LGWR",0
"2023-10-31T00:23:02.021474+01:00 LGWR started with pid=21, OS id=3932800 Starting background process CKPT",0
"2023-10-31T00:23:02.145866+01:00 CKPT started with pid=22, OS id=18612778",0
"2023-10-31T00:23:02.182045+01:00 LGWR slave LG00 created with pid=23, OS pid=4391566 Starting background process SMON",0
"2023-10-31T00:23:02.221658+01:00 SMON started with pid=24, OS id=3801724 LGWR slave LG01 created with pid=25, OS pid=3670648",0
2023-10-31T00:23:02.259047+01:00 Starting background process SMCO Starting background process RECO,0
"2023-10-31T00:23:02.298340+01:00 SMCO started with pid=26, OS id=4588184",0
"2023-10-31T00:23:02.335645+01:00 RECO started with pid=27, OS id=8389220 Starting background process LREG",0
"2023-10-31T00:23:02.411220+01:00 LREG started with pid=29, OS id=3539572 Starting background process PXMN",0
"2023-10-31T00:23:02.485102+01:00 PXMN started with pid=31, OS id=3408496 Starting background process FENC Starting background process MMON",0
"2023-10-31T00:23:02.526852+01:00 FENC started with pid=32, OS id=4326028",0
"2023-10-31T00:23:02.563236+01:00 MMON started with pid=33, OS id=4194952 Starting background process MMNL",0
"2023-10-31T00:23:02.602732+01:00 MMNL started with pid=32, OS id=4063876",0
2023-10-31T00:23:02.603932+01:00 starting up 1 dispatcher(s) for network address '(ADDRESS=(PARTIAL=YES)(PROTOCOL=TCP))'... starting up 1 shared server(s) ... Starting background process TMON,0
"2023-10-31T00:23:02.719635+01:00 TMON started with pid=36, OS id=3867312 Setting CPU count to 32 ORACLE_BASE from environment = /oracle/ora_base",0
2023-10-31T00:23:04.649682+01:00 Using default pga_aggregate_limit of 24576 MB,0
2023-10-31T00:46:02.840313+01:00 ALTER SYSTEM SET spfile='/oracle/ora_base/product/11.2.0.4/dbs/spfileFRET.ora' SCOPE=MEMORY;,0
2023-10-31T00:46:02.890853+01:00 ALTER SYSTEM SET db_unique_name='FRETDG' COMMENT='Is standby' SCOPE=SPFILE; Shutting down ORACLE instance (immediate) (OS id: 7537176) Stopping background process SMCO Shutting down instance: further logons disabled Stopping background process MMNL Stopping background process MMON,0
2023-10-31T00:46:03.992469+01:00 License high water mark = 6,0
2023-10-31T00:46:04.000203+01:00 Dispatchers and shared servers shutdown  Data Pump shutdown on PDB: 0 in progress,0
"2023-10-31T00:46:04.005759+01:00 Process termination requested for pid 2949868 [source = unknown], [info = 0]",0
2023-10-31T00:46:05.009757+01:00 alter database close ORA-1507 signalled during: alter database close... alter database dismount ORA-1507 signalled during: alter database dismount...,2
2023-10-31T00:46:05.022090+01:00 .... (PID:7537176): Archival disabled due to shutdown: 1089 Shutting down archive processes Archiving is disabled,0
2023-10-31T00:46:07.026951+01:00  IM on ADG: Start of Empty Journal  IM on ADG: End of Empty Journal JIT: pid 7537176 requesting stop .... (PID:7537176): Archival disabled due to shutdown: 1089 Shutting down archive processes Archiving is disabled JIT: pid 7537176 requesting stop,0
2023-10-31T00:46:07.167177+01:00 Stopping background process VKTM,0
2023-10-31T00:46:19.865787+01:00 Instance shutdown complete (OS id: 7537176),0
2023-10-31T00:46:22.723535+01:00 Starting ORACLE instance (normal) (OS id: 8848010),0
2023-10-31T00:46:22.748092+01:00 **********************************************************************,0
2023-10-31T00:46:22.749655+01:00 Dump of system resources acquired for SHARED GLOBAL AREA (SGA),0
"2023-10-31T00:46:22.751894+01:00 Available system pagesizes: 4K, 64K, 16M, 16G",0
2023-10-31T00:46:22.755366+01:00 Supported system pagesize(s):,0
2023-10-31T00:46:22.756830+01:00 PAGESIZE  AVAILABLE_PAGES  EXPECTED_PAGES  ALLOCATED_PAGES  ERROR(s),0
2023-10-31T00:46:22.758354+01:00 4K       Configured         6291472         6291472        NONE,0
2023-10-31T00:46:22.759862+01:00 Reason for not supporting certain system pagesizes:,0
2023-10-31T00:46:22.761539+01:00 64K - Default pagesizes only,0
2023-10-31T00:46:22.763055+01:00 16M - Default pagesizes only,0
2023-10-31T00:46:22.764486+01:00 16G - Default pagesizes only,0
2023-10-31T00:46:22.766011+01:00 **********************************************************************,0
"2023-10-31T00:46:25.817780+01:00 sskgpgetexecname failed to get name LICENSE_MAX_SESSION = 0 LICENSE_SESSIONS_WARNING = 0 Initial number of CPU is 32 Number of processor cores in the system is 4 Capability Type : Network capabilities requested : 7 detected : 0 Simulated : 0 Capability Type : Runtime Environment capabilities requested : 400000FF detected : 40000000 Simulated : 0 Capability Type : Engineered Systems capabilities requested : 7 detected : 0 Simulated : 0 Capability Type : Database Test capabilities requested : 3 detected : 0 Simulated : 0 Autotune of undo retention is turned on. IMODE=BR ILAT =1322 LICENSE_MAX_USERS = 0 SYS auditing is enabled NOTE: remote asm mode is local (mode 0x1; from cluster type) NOTE: Using default ASM root directory ASM NOTE: remote asm mode is local (mode 0x1; from cluster type) NOTE: Cluster configuration type = NONE [2] Oracle Database 19c Enterprise Edition Release 19.0.0.0.0 - Production Version 19.3.0.0.0. ORACLE_HOME:    /oracle/ora_base/product/11.2.0.4 System name:	AIX Node name:	apfrdbg Release:	2 Version:	7 Machine:	00FBE6624C00 Using parameter settings in server-side spfile /oracle/ora_base/product/11.2.0.4/dbs/spfileFRET.ora System parameters with non-default values: processes                = 8000 sessions                 = 12032 memory_target            = 24G memory_max_target        = 24G control_files            = ""/Data/FRET/control01.ctl"" control_files            = ""/Data/FRET/control02.ctl"" log_file_name_convert    = ""/oracle/data/FRET/"" log_file_name_convert    = ""/oracle/data/FRET/"" db_block_size            = 8192 db_keep_cache_size       = 0 compatible               = ""19.0.0.0.0"" log_archive_dest_1       = ""location=/archive/FRET"" log_archive_dest_2       = ""SERVICE=FRETDG NOAFFIRM ASYNC VALID_FOR=(ONLINE_LOGFILES,PRIMARY_ROLE) DB_UNIQUE_NAME=FRETDG"" log_archive_dest_state_2 = ""DEFER"" fal_server               = ""FRETDG"" log_archive_config       = ""DG_CONFIG=(FRET,FRETDG)"" log_archive_max_processes= 30 standby_file_management  = ""AUTO"" transactions             = 13224 undo_tablespace          = ""UNDOTBS1"" undo_retention           = 26000 recyclebin               = ""OFF"" remote_login_passwordfile= ""EXCLUSIVE"" db_domain                = """" global_txn_processes     = 0 dispatchers              = ""(PROTOCOL=TCP) (SERVICE=FRETXDB)"" session_cached_cursors   = 300 job_queue_processes      = 1000 cursor_sharing           = ""EXACT"" hash_area_size           = 393216 audit_file_dest          = ""/oracle/ora_base/admin/FRET/adump"" audit_trail              = ""NONE"" db_name                  = ""FRET"" db_unique_name           = ""FRETDG"" open_cursors             = 6000 pga_aggregate_target     = 6G _optimizer_autostats_job = TRUE ddl_lock_timeout         = 30 deferred_segment_creation= FALSE diagnostic_dest          = ""/oracle/ora_base""",0
2023-10-31T00:46:26.630137+01:00 ============================================================ NOTE: PatchLevel of this instance 0 ============================================================,0
2023-10-31T00:46:27.337958+01:00 Starting background process PMON,0
"2023-10-31T00:46:27.375750+01:00 PMON started with pid=2, OS id=4915772 Starting background process CLMN",0
"2023-10-31T00:46:27.414945+01:00 CLMN started with pid=3, OS id=5374646 Starting background process PSP0",0
"2023-10-31T00:46:27.454588+01:00 PSP0 started with pid=4, OS id=7144064 Starting background process VKTM",0
"2023-10-31T00:46:27.505294+01:00 Errors in file /oracle/ora_base/diag/rdbms/fretdg/FRET/trace/FRET_vktm_5309100.trc  (incident=64042): ORA-00800: soft external error, arguments: [Set Priority Failed], [VKTM], [Check traces and OS configuration], [Check Oracle document and MOS notes], [] Incident details in: /oracle/ora_base/diag/rdbms/fretdg/FRET/incident/incdir_64042/FRET_vktm_5309100_i64042.trc",2
"2023-10-31T00:46:27.521616+01:00 Error attempting to elevate VKTM's priority: no further priority changes will be attempted for this process VKTM started with pid=5, OS id=5309100 Starting background process GEN0 VKTM running at (100ms) precision",0
"2023-10-31T00:46:27.579986+01:00 GEN0 started with pid=6, OS id=5178060 Starting background process MMAN",0
"2023-10-31T00:46:27.617032+01:00 MMAN started with pid=7, OS id=4850336 Starting background process GEN1",0
"2023-10-31T00:46:27.728778+01:00 GEN1 started with pid=9, OS id=3867316_97780155 Starting background process DIAG",0
"2023-10-31T00:46:28.051651+01:00 DIAG started with pid=11, OS id=18612780 Starting background process DBRM",0
"2023-10-31T00:46:28.122116+01:00 DBRM started with pid=12, OS id=14287536 Starting background process VKRM",0
"2023-10-31T00:46:28.159958+01:00 VKRM started with pid=13, OS id=10224214 Starting background process SVCB",0
"2023-10-31T00:46:28.199157+01:00 SVCB started with pid=14, OS id=8389222 Starting background process PMAN",0
"2023-10-31T00:46:28.238467+01:00 PMAN started with pid=15, OS id=6685400 Starting background process DIA0",0
"2023-10-31T00:46:28.277259+01:00 DIA0 started with pid=16, OS id=4981414 Starting background process DBW0",0
"2023-10-31T00:46:28.322922+01:00 DBW0 started with pid=17, OS id=4653720 Starting background process DBW1",0
"2023-10-31T00:46:28.363055+01:00 DBW1 started with pid=18, OS id=4522644",0
2023-10-31T00:46:28.364761+01:00 Starting background process DBW2,0
"2023-10-31T00:46:28.404639+01:00 DBW2 started with pid=19, OS id=4457106 Starting background process DBW3",0
"2023-10-31T00:46:28.445040+01:00 DBW3 started with pid=20, OS id=4391570 Starting background process LGWR",0
"2023-10-31T00:46:28.484353+01:00 LGWR started with pid=21, OS id=4129416 Starting background process CKPT",0
"2023-10-31T00:46:28.523489+01:00 CKPT started with pid=22, OS id=3932802",0
"2023-10-31T00:46:28.562117+01:00 LGWR slave LG00 created with pid=23, OS pid=3801726 Starting background process SMON",0
"2023-10-31T00:46:28.601756+01:00 SMON started with pid=24, OS id=3539574 LGWR slave LG01 created with pid=25, OS pid=7537230 Starting background process SMCO",0
"2023-10-31T00:46:28.677891+01:00 SMCO started with pid=26, OS id=5112502 Starting background process RECO",0
"2023-10-31T00:46:28.717987+01:00 RECO started with pid=27, OS id=3670650 Starting background process LREG",0
"2023-10-31T00:46:28.791804+01:00 LREG started with pid=29, OS id=4588188 Starting background process PXMN",0
"2023-10-31T00:46:28.867024+01:00 PXMN started with pid=31, OS id=3736188 Starting background process FENC",0
"2023-10-31T00:46:28.906682+01:00 FENC started with pid=32, OS id=2949870 Starting background process MMON",0
"2023-10-31T00:46:28.946810+01:00 MMON started with pid=33, OS id=5046950 Starting background process MMNL",0
"2023-10-31T00:46:28.985444+01:00 MMNL started with pid=32, OS id=4326028",0
2023-10-31T00:46:28.986587+01:00 starting up 1 dispatcher(s) for network address '(ADDRESS=(PARTIAL=YES)(PROTOCOL=TCP))'... starting up 1 shared server(s) ... Starting background process TMON,0
"2023-10-31T00:46:29.105859+01:00 TMON started with pid=36, OS id=3605112 Setting CPU count to 32 ORACLE_BASE from environment = /oracle/ora_base",0
2023-10-31T00:46:31.129750+01:00 Using default pga_aggregate_limit of 24576 MB,1
2023-10-31T00:46:34.481571+01:00 Conversion to standby controlfile pending for restored file No controlfile conversion No controlfile conversion,0
2023-10-31T00:46:35.370140+01:00 RFS connections have been disallowed alter database mount standby database,2
"2023-10-31T00:46:39.430587+01:00 Converting controlfile to standby If db_file_name_convert or log_file_name_convert parameters are not used, then RMAN intervention is required to fix the file names in the converted control file. Refer to RMAN documentation for how to fix all file names. Clearing standby activation ID 763943841 (0x2d88dba1) The primary database controlfile was created using the 'MAXLOGFILES 40' clause. There is space for up to 34 standby redo logfiles Use the following SQL commands on the standby database to create standby redo logfiles that match the primary database: ALTER DATABASE ADD STANDBY LOGFILE 'srl1.f' SIZE 629145600; ALTER DATABASE ADD STANDBY LOGFILE 'srl2.f' SIZE 629145600; ALTER DATABASE ADD STANDBY LOGFILE 'srl3.f' SIZE 629145600; ALTER DATABASE ADD STANDBY LOGFILE 'srl4.f' SIZE 629145600; ALTER DATABASE ADD STANDBY LOGFILE 'srl5.f' SIZE 629145600; ALTER DATABASE ADD STANDBY LOGFILE 'srl6.f' SIZE 629145600; ALTER DATABASE ADD STANDBY LOGFILE 'srl7.f' SIZE 629145600; Set as converted control file due to db_unique_name mismatch Changing di2dbun from FRET to FRETDG .... (PID:4063886): RT: Role transition work is not done .... (PID:4063886): Redo network throttle feature is disabled at mount time",2
"2023-10-31T00:46:39.526910+01:00 Successful mount of redo thread 1, with mount id 764947947",0
2023-10-31T00:46:39.535558+01:00 .... (PID:4063886): Database role set to PHYSICAL STANDBY [kcvfdb.c:9076] Physical Standby Database mounted. .... (PID:4063886): STARTING ARCH PROCESSES Starting background process ARC0,0
2023-10-31T00:46:39.616640+01:00 TT00 (PID:3080844): Gap Manager starting,0
"2023-10-31T00:46:39.667324+01:00 ARC0 started with pid=42, OS id=3342904",0
2023-10-31T00:46:39.679433+01:00 .... (PID:4063886): ARC0: Archival started .... (PID:4063886): STARTING ARCH PROCESSES COMPLETE,0
2023-10-31T00:46:39.684801+01:00 ARC0 (PID:3342904): Becoming a 'no FAL' ARCH,0
2023-10-31T00:46:39.689504+01:00 In-memory operation on ADG is currently only supported on Engineered systems and PaaS. inmemory_adg_enabled is turned off automatically. Please contact our support team for EXADATA solutions Lost write protection disabled .... (PID:4063886): Using STANDBY_ARCHIVE_DEST parameter default value as /archive/FRET [krsd.c:18141] Create Relation IPS_PACKAGE_UNPACK_HISTORY,1
2023-10-31T00:46:39.888169+01:00 Archiving previously deferred ORLs (FRET) Completed: alter database mount standby database,0
2023-10-31T00:46:40.663650+01:00 TMON (PID:3605112): STARTING ARCH PROCESSES Starting background process ARC1,0
"2023-10-31T00:46:40.702697+01:00 ARC1 started with pid=44, OS id=3211792 Starting background process ARC2",0
"2023-10-31T00:46:40.741893+01:00 ARC2 started with pid=45, OS id=655904 Starting background process ARC3",0
"2023-10-31T00:46:40.782570+01:00 ARC3 started with pid=46, OS id=66388386 Starting background process ARC4",0
"2023-10-31T00:46:40.831123+01:00 ARC4 started with pid=47, OS id=65536384 Starting background process ARC5",0
"2023-10-31T00:46:40.872676+01:00 ARC5 started with pid=48, OS id=64618974 Starting background process ARC6 Starting background process ARC7",0
"2023-10-31T00:46:40.919043+01:00 ARC6 started with pid=49, OS id=61145386",0
"2023-10-31T00:46:40.955539+01:00 ARC7 started with pid=50, OS id=59113760 Starting background process ARC8",0
"2023-10-31T00:46:41.005702+01:00 ARC8 started with pid=51, OS id=58589482 Starting background process ARC9",0
"2023-10-31T00:46:41.056274+01:00 ARC9 started with pid=52, OS id=58261888 Starting background process ARCa",0
"2023-10-31T00:46:41.100507+01:00 ARCa started with pid=53, OS id=57016608 Starting background process ARCb",0
"2023-10-31T00:46:41.142676+01:00 ARCb started with pid=54, OS id=56033730 Starting background process ARCc",0
"2023-10-31T00:46:41.181153+01:00 ARCc started with pid=55, OS id=53805480 Starting background process ARCd",0
"2023-10-31T00:46:41.222333+01:00 ARCd started with pid=56, OS id=4784836 Starting background process ARCe",0
"2023-10-31T00:46:41.265943+01:00 ARCe started with pid=57, OS id=50594112 Starting background process ARCf Starting background process ARCg",0
"2023-10-31T00:46:41.316050+01:00 ARCf started with pid=58, OS id=50069912 Starting background process ARCh",0
"2023-10-31T00:46:41.348879+01:00 ARCg started with pid=59, OS id=49938884 Starting background process ARCi",0
"2023-10-31T00:46:41.396281+01:00 ARCh started with pid=60, OS id=45941208",0
"2023-10-31T00:46:41.427227+01:00 ARCi started with pid=61, OS id=41156962 Starting background process ARCj",0
"2023-10-31T00:46:41.470497+01:00 ARCj started with pid=62, OS id=41025878 Starting background process ARCk",0
"2023-10-31T00:46:41.512857+01:00 ARCk started with pid=63, OS id=39059854 Starting background process ARCl",0
"2023-10-31T00:46:41.553240+01:00 ARCl started with pid=64, OS id=37290348 Starting background process ARCm",0
"2023-10-31T00:46:41.591620+01:00 ARCm started with pid=65, OS id=36372898 Starting background process ARCn",0
"2023-10-31T00:46:41.632356+01:00 ARCn started with pid=66, OS id=36307210 Starting background process ARCo",0
"2023-10-31T00:46:41.672071+01:00 ARCo started with pid=67, OS id=35979548",0
2023-10-31T00:46:41.675523+01:00 Starting background process ARCp,0
"2023-10-31T00:46:41.712341+01:00 ARCp started with pid=68, OS id=32833886 Starting background process ARCq",0
"2023-10-31T00:46:41.752737+01:00 ARCq started with pid=69, OS id=32309608 Starting background process ARCr",0
"2023-10-31T00:46:41.792308+01:00 ARCr started with pid=70, OS id=31850962 Starting background process ARCs",0
"2023-10-31T00:46:41.831607+01:00 ARCs started with pid=71, OS id=31785234 Starting background process ARCt",0
"2023-10-31T00:46:41.872185+01:00 ARCt started with pid=72, OS id=31719886",0
2023-10-31T00:46:41.874319+01:00 TMON (PID:3605112): ARC1: Archival started TMON (PID:3605112): ARC2: Archival started TMON (PID:3605112): ARC3: Archival started TMON (PID:3605112): ARC4: Archival started TMON (PID:3605112): ARC5: Archival started TMON (PID:3605112): ARC6: Archival started TMON (PID:3605112): ARC7: Archival started TMON (PID:3605112): ARC8: Archival started TMON (PID:3605112): ARC9: Archival started TMON (PID:3605112): ARCa: Archival started TMON (PID:3605112): ARCb: Archival started TMON (PID:3605112): ARCc: Archival started TMON (PID:3605112): ARCd: Archival started TMON (PID:3605112): ARCe: Archival started TMON (PID:3605112): ARCf: Archival started TMON (PID:3605112): ARCg: Archival started TMON (PID:3605112): ARCh: Archival started TMON (PID:3605112): ARCi: Archival started TMON (PID:3605112): ARCj: Archival started TMON (PID:3605112): ARCk: Archival started TMON (PID:3605112): ARCl: Archival started TMON (PID:3605112): ARCm: Archival started TMON (PID:3605112): ARCn: Archival started TMON (PID:3605112): ARCo: Archival started TMON (PID:3605112): ARCp: Archival started TMON (PID:3605112): ARCq: Archival started TMON (PID:3605112): ARCr: Archival started TMON (PID:3605112): ARCs: Archival started TMON (PID:3605112): ARCt: Archival started TMON (PID:3605112): STARTING ARCH PROCESSES COMPLETE,0
2023-10-31T00:47:00.756709+01:00 Full restore complete of datafile 1 /Data/FRET/system01.dbf.  Elapsed time: 0:00:14 checkpoint is 5473784911 last deallocation scn is 5300695465 Undo Optimization current scn is 5473743388,0
2023-10-31T00:48:07.052412+01:00 Full restore complete of datafile 3 /undotmp/FRET/UNDOTBS1_4.dbf.  Elapsed time: 0:01:06 checkpoint is 5473785423 last deallocation scn is 5473784919 Undo Optimization current scn is 5473743388,0
2023-10-31T00:48:20.115084+01:00 Full restore complete of datafile 2 /Data/FRET/sysaux01.dbf.  Elapsed time: 0:01:33 checkpoint is 5473784912 last deallocation scn is 5473729713,0
2023-10-31T00:48:34.288277+01:00 Full restore complete of datafile 4 /Data/FRET/users01.dbf.  Elapsed time: 0:00:18 checkpoint is 5473787565 last deallocation scn is 5399627662,0
2023-10-31T00:51:27.985215+01:00 Full restore complete of datafile 5 /Data/FRET/TBS_FRET_00.dbf.  Elapsed time: 0:03:03 checkpoint is 5473788091 last deallocation scn is 5473675796,0
2023-10-31T00:51:42.605077+01:00 Full restore complete of datafile 6 /Data/FRET/TBS_FRET_01.dbf.  Elapsed time: 0:03:03 checkpoint is 5473788794 last deallocation scn is 5473675798,0
2023-10-31T00:54:39.793896+01:00 Full restore complete of datafile 7 /Data/FRET/TBS_FRET_02.dbf.  Elapsed time: 0:03:05 checkpoint is 5473793772 last deallocation scn is 5473675800,0
2023-10-31T00:54:49.989891+01:00 Full restore complete of datafile 8 /Data/FRET/TBS_FRET_03.dbf.  Elapsed time: 0:03:00 checkpoint is 5473794065 last deallocation scn is 5468555683,0
2023-10-31T00:57:50.767734+01:00 Full restore complete of datafile 10 /Data/FRET/TBS_FRET_05.dbf.  Elapsed time: 0:02:58 checkpoint is 5473798886 last deallocation scn is 5470015411,0
2023-10-31T00:57:52.355936+01:00 Full restore complete of datafile 9 /Data/FRET/TBS_FRET_04.dbf.  Elapsed time: 0:03:08 checkpoint is 5473798830 last deallocation scn is 5468555685,0
2023-10-31T00:58:06.911807+01:00 Full restore complete of datafile 11 /Data/FRET/system02.dbf.  Elapsed time: 0:00:09 checkpoint is 5473809322 last deallocation scn is 5300695380 Undo Optimization current scn is 5473761376,0
2023-10-31T00:58:08.354211+01:00 Full restore complete of datafile 12 /Data/FRET/sysaux02.dbf.  Elapsed time: 0:00:11 checkpoint is 5473809323 last deallocation scn is 5473728564,0
2023-10-31T00:58:21.901394+01:00 Full restore complete of datafile 13 /Data/FRET/system03.dbf.  Elapsed time: 0:00:09 checkpoint is 5473809629 last deallocation scn is 5300695428 Undo Optimization current scn is 5473761376,0
2023-10-31T00:58:27.944977+01:00 Full restore complete of datafile 15 /Data/FRET/TBS_WORKS_COMP_00.dbf.  Elapsed time: 0:00:00 checkpoint is 5473810003 last deallocation scn is 816522743,0
2023-10-31T00:59:40.399155+01:00 Full restore complete of datafile 14 /undotmp/FRET/UNDOTBS1_3.dbf.  Elapsed time: 0:01:28 checkpoint is 5473809636 last deallocation scn is 5473807420 Undo Optimization current scn is 5473761376,0
2023-10-31T00:59:50.543690+01:00 Full restore complete of datafile 16 /undotmp/FRET/UNDOTBS1_2.dbf.  Elapsed time: 0:01:21 checkpoint is 5473810031 last deallocation scn is 5473807422 Undo Optimization current scn is 5473761376,0
2023-10-31T01:00:49.556771+01:00 Full restore complete of datafile 17 /Index/FRET/TBS_WORKS_COMP_IDX_00.dbf.  Elapsed time: 0:01:05 checkpoint is 5473811287 last deallocation scn is 5473462557,0
2023-10-31T01:00:59.183991+01:00 Full restore complete of datafile 18 /Data/FRET/TBS_WORKS_DCOMP_00.dbf.  Elapsed time: 0:01:08 checkpoint is 5473811429 last deallocation scn is 5352501095,0
2023-10-31T01:01:57.074703+01:00 Full restore complete of datafile 19 /Data/FRET/TBS_WORKS_DCOMP_01.dbf.  Elapsed time: 0:01:01 checkpoint is 5473813637 last deallocation scn is 5352501103,0
2023-10-31T01:02:02.465147+01:00 Full restore complete of datafile 20 /Data/FRET/TBS_WORKS_DCOMP_02.dbf.  Elapsed time: 0:01:02 checkpoint is 5473813706 last deallocation scn is 5352501105,0
